Time, Latitude, Longitude, Dust(ug/m3), Humidity, Temp (C)
28/10/2016 17:29:22,69.681671,18.975609,-94.02,21.00,19.00
28/10/2016 17:29:22,69.681671,18.975609,-89.82,22.00,18.00
28/10/2016 17:29:27,69.681671,18.975609,-95.70,21.00,20.00
28/10/2016 17:29:30,69.681671,18.975609,-57.91,22.00,18.00
28/10/2016 17:29:30,69.681671,18.975609,-82.26,22.00,16.00
28/10/2016 17:29:32,69.681671,18.975609,-66.31,22.00,18.00
28/10/2016 17:29:39,69.681847,18.976103,-88.14,22.00,18.00
28/10/2016 17:29:42,69.681808,18.976139,-88.14,35.00,21.00
28/10/2016 17:29:45,69.681778,18.976126,-94.02,21.00,17.00
28/10/2016 17:29:48,69.681763,18.976135,-78.90,21.00,17.00
28/10/2016 17:29:51,69.681755,18.976160,-75.54,35.00,21.00
28/10/2016 17:29:54,69.681725,18.976187,-88.14,22.00,18.00
28/10/2016 17:29:57,69.681702,18.976223,-92.34,21.00,17.00
28/10/2016 17:30:0,69.681686,18.976194,-51.19,21.00,17.00
28/10/2016 17:30:3,69.681686,18.976191,-81.42,22.00,18.00
28/10/2016 17:30:6,69.681671,18.976200,-92.34,35.00,22.00
28/10/2016 17:30:9,69.681671,18.976200,21.88,22.00,18.00
28/10/2016 17:30:9,69.681671,18.976200,-67.15,22.00,18.00
28/10/2016 17:30:9,69.681671,18.976200,-16.76,22.00,18.00
28/10/2016 17:30:17,69.681709,18.976210,-64.63,35.00,21.00
28/10/2016 17:30:20,69.681679,18.976196,-88.14,22.00,18.00
28/10/2016 17:30:23,69.681679,18.976198,-94.02,22.00,18.00
28/10/2016 17:30:26,69.681679,18.976198,-50.35,22.00,18.00
28/10/2016 17:30:26,69.681679,18.976198,-48.67,22.00,18.00
28/10/2016 17:30:26,69.681679,18.976198,-73.86,22.00,18.00
28/10/2016 17:30:31,69.681679,18.976198,-94.02,22.00,18.00
28/10/2016 17:30:34,69.681679,18.976198,-91.50,22.00,18.00
28/10/2016 17:30:34,69.681679,18.976198,-34.39,22.00,18.00
28/10/2016 17:30:36,69.681679,18.976198,-62.11,22.00,18.00
28/10/2016 17:30:41,69.681679,18.976198,-89.82,21.00,17.00
28/10/2016 17:30:43,69.681679,18.976198,-93.18,21.00,16.00
28/10/2016 17:30:43,69.681679,18.976198,-62.95,35.00,22.00
28/10/2016 17:30:45,69.681679,18.976198,-82.26,21.00,17.00
28/10/2016 17:30:50,69.681679,18.976198,-88.98,22.00,18.00
28/10/2016 17:30:52,69.681679,18.976198,-56.23,22.00,18.00
28/10/2016 17:30:52,69.681679,18.976198,-88.98,22.00,18.00
28/10/2016 17:30:55,69.681679,18.976198,-31.87,22.00,16.00
28/10/2016 17:30:59,69.681679,18.976198,-84.78,22.00,18.00
28/10/2016 17:31:2,69.681679,18.976198,-84.78,22.00,18.00
28/10/2016 17:31:2,69.681679,18.976198,-89.82,22.00,16.00
28/10/2016 17:31:4,69.681679,18.976198,-82.26,34.00,22.00
28/10/2016 17:31:9,69.681679,18.976198,-88.98,36.00,21.00
28/10/2016 17:31:11,69.681679,18.976198,-41.11,22.00,18.00
28/10/2016 17:31:11,69.681679,18.976198,-91.50,35.00,23.00
28/10/2016 17:31:13,69.681679,18.976198,-35.23,36.00,21.00
28/10/2016 17:31:18,69.681679,18.976198,-83.94,22.00,18.00
28/10/2016 17:31:20,69.681679,18.976198,-37.75,34.00,21.00
28/10/2016 17:31:20,69.681679,18.976198,-42.79,22.00,18.00
28/10/2016 17:31:23,69.681679,18.976198,-91.50,35.00,21.00
28/10/2016 17:31:27,69.681679,18.976198,-53.71,22.00,16.00
28/10/2016 17:31:30,69.681679,18.976198,-72.19,35.00,22.00
28/10/2016 17:31:30,69.681679,18.976198,-11.72,34.00,21.00
28/10/2016 17:31:32,69.681679,18.976198,-65.47,22.00,19.00
28/10/2016 17:31:37,69.681679,18.976198,-23.47,21.00,16.00
28/10/2016 17:31:39,69.681679,18.976198,-55.39,22.00,18.00
28/10/2016 17:31:39,69.681679,18.976198,-72.19,35.00,21.00
28/10/2016 17:31:41,69.681679,18.976198,-69.67,21.00,17.00
28/10/2016 17:31:46,69.681679,18.976198,-94.86,21.00,19.00
28/10/2016 17:31:48,69.681679,18.976198,-90.66,35.00,21.00
28/10/2016 17:31:48,69.681679,18.976198,-90.66,21.00,17.00
28/10/2016 17:31:51,69.681679,18.976198,-79.74,22.00,18.00
28/10/2016 17:31:55,69.681679,18.976198,-68.83,36.00,21.00
28/10/2016 17:31:58,69.681679,18.976198,-66.31,21.00,17.00
28/10/2016 17:31:58,69.681679,18.976198,-91.50,22.00,18.00
28/10/2016 17:32:0,69.681679,18.976198,-90.66,22.00,18.00
28/10/2016 17:32:5,69.681679,18.976198,-75.54,21.00,19.00
28/10/2016 17:32:7,69.681679,18.976198,-73.02,37.00,21.00
28/10/2016 17:32:7,69.681679,18.976198,-74.70,20.00,18.00
28/10/2016 17:32:9,69.681679,18.976198,-71.35,22.00,18.00
28/10/2016 17:32:14,69.681679,18.976198,-25.99,22.00,18.00
28/10/2016 17:32:16,69.681679,18.976198,-85.62,35.00,21.00
28/10/2016 17:32:16,69.681679,18.976198,-91.50,22.00,18.00
28/10/2016 17:32:19,69.681679,18.976198,-75.54,20.00,17.00
28/10/2016 17:32:23,69.681679,18.976198,-65.47,21.00,19.00
28/10/2016 17:32:26,69.681679,18.976198,-72.19,22.00,16.00
28/10/2016 17:32:26,69.681679,18.976198,-92.34,22.00,18.00
28/10/2016 17:32:28,69.681679,18.976198,-88.98,35.00,21.00
